pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
150,v,9,1,37,1,,,,,209.40717849996872,210.3972683000029,210.3972683000029,210.3972683000029,210.3972683000029,210.41721939999843,211.39374520001002,211.39374520001002,v,1,0.4772808999987319,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,9,2,38,2,,,,,211.8920472000027,212.89296299999114,212.89296299999114,212.89296299999114,212.89296299999114,212.89296299999114,213.89398190000793,213.89398190000793,c,1,0.6043818999896757,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,9,3,39,3,,,,,214.54211300000316,215.52692729997216,215.52692729997216,215.52692729997216,215.52692729997216,215.54329299996607,216.52870009996695,216.52870009996695,z,1,0.39106559997890145,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,10,0,40,0,,,,,216.94379449996632,217.94306989997858,217.94306989997858,217.94306989997858,217.94306989997858,217.94306989997858,218.94557270000223,218.94557270000223,x,1,0.3984665999887511,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,10,1,41,1,,,,,219.3612570000114,220.36030090000713,220.36030090000713,220.36030090000713,220.36030090000713,220.36030090000713,221.3717602000106,221.3717602000106,v,1,0.6205664000008255,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,10,2,42,2,,,,,222.02718319999985,223.01256299996749,223.01256299996749,223.01256299996749,223.01256299996749,223.0289542999817,224.02701859996887,224.02701859996887,c,1,0.6642401000135578,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,10,3,43,3,,,,,224.71060749999015,225.70050510001602,225.70050510001602,225.70050510001602,225.70050510001602,225.71970309998142,226.71596679999493,226.71596679999493,z,1,0.36941349995322526,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,11,0,44,0,,,,,227.11159889999544,228.1150754999835,228.1150754999835,228.1150754999835,228.1150754999835,228.1150754999835,229.1116100999643,229.1116100999643,x,1,0.6313363999943249,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,11,1,45,1,,,,,229.7618744999636,230.75258099997882,230.75258099997882,230.75258099997882,230.75258099997882,230.77117169997655,231.76802399998996,231.76802399998996,v,1,0.6011298000230454,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,11,2,46,2,,,,,232.4045653999783,233.40368099999614,233.40368099999614,233.40368099999614,233.40368099999614,233.42279729997972,234.39759720000438,234.39759720000438,c,1,0.8031203999998979,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,11,3,47,3,,,,,235.23013199999696,236.23028909997083,236.23028909997083,236.23028909997083,236.23028909997083,236.23028909997083,237.23146799998358,237.23146799998358,z,1,0.48524829995585606,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,12,0,48,0,,,,,237.74625480000395,238.73196579999058,238.73196579999058,238.73196579999058,238.73196579999058,238.74818240001332,239.732267400017,239.732267400017,x,1,0.4815299999900162,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,12,1,49,1,,,,,240.23123239999404,241.23148770001717,241.23148770001717,241.23148770001717,241.23148770001717,241.23148770001717,242.23259540001163,242.23259540001163,v,1,0.6290511999977753,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,12,2,50,2,,,,,242.88187350000953,243.88216320000356,243.88216320000356,243.88216320000356,243.88216320000356,243.88216320000356,244.88362169999164,244.88362169999164,c,1,0.7148339999839664,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,12,3,51,3,,,,,245.61672240000917,246.6162403000053,246.6162403000053,246.6162403000053,246.6162403000053,246.6162403000053,247.6170112999971,247.6170112999971,z,1,0.49713199998950586,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,13,0,52,0,,,,,248.13362039998174,249.13324860000284,249.13324860000284,249.13324860000284,249.13324860000284,249.13324860000284,250.13208919996396,250.13208919996396,x,1,0.7003218000172637,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,13,1,53,1,,,,,250.8647450999706,251.85693579999497,251.85693579999497,251.85693579999497,251.85693579999497,251.8763689000043,252.87182890000986,252.87182890000986,v,1,0.6791956999804825,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,13,2,54,2,,,,,253.56833159999223,254.56791420001537,254.56791420001537,254.56791420001537,254.56791420001537,254.56791420001537,255.57101859996328,255.57101859996328,c,1,0.709752099995967,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,13,3,55,3,,,,,256.31626980000874,257.3084354000166,257.3084354000166,257.3084354000166,257.3084354000166,257.32846039999276,258.3015946999658,258.3015946999658,z,1,0.47525499999755993,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,14,0,56,0,,,,,258.80183730000863,259.7925306999823,259.7925306999823,259.7925306999823,259.7925306999823,259.8118851999752,260.800805100007,260.800805100007,x,1,0.8789537999546155,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,14,1,57,1,,,,,261.7211585000041,262.7148424999905,262.7148424999905,262.7148424999905,262.7148424999905,262.7351198999677,263.7068634000025,263.7068634000025,v,1,0.9374501999700442,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,14,2,58,2,,,,,264.67936680000275,265.67662869999185,265.67662869999185,265.67662869999185,265.67662869999185,265.6963180999737,266.682057500002,266.682057500002,c,1,0.7720836999942549,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,14,3,59,3,,,,,267.47615639999276,268.4772992999642,268.4772992999642,268.4772992999642,268.4772992999642,268.4972897999687,269.48596809996525,269.48596809996525,z,1,0.7504289000062272,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,15,0,60,0,,,,,270.27186999999685,271.2554249999812,271.2554249999812,271.2554249999812,271.2554249999812,271.2717040000134,272.25659840001026,272.25659840001026,x,1,0.7298114000004716,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,15,1,61,1,,,,,273.00780720001785,274.0068841999746,274.0068841999746,274.0068841999746,274.0068841999746,274.0233692000038,275.0089980000048,275.0089980000048,v,1,0.47537619998911396,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,15,2,62,2,,,,,275.50739819998853,276.5075294999988,276.5075294999988,276.5075294999988,276.5075294999988,276.52389169996604,277.51529189996654,277.51529189996654,c,1,0.7608441000338644,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,15,3,63,3,,,,,278.30607699998654,279.3064879999729,279.3064879999729,279.3064879999729,279.3064879999729,279.3064879999729,280.306818299985,280.306818299985,z,1,0.497847999969963,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,16,0,64,0,,,,,280.8233442999772,281.81518699997105,281.81518699997105,281.81518699997105,281.81518699997105,281.8342491000076,282.8248362999875,282.8248362999875,x,1,0.6697656000033021,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,16,1,65,1,,,,,283.5412645000033,284.5285949999816,284.5285949999816,284.5285949999816,284.5285949999816,284.5453764999984,285.5278483000002,285.5278483000002,v,1,0.6465452999691479,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,16,2,66,2,,,,,286.20847870002035,287.1914641999756,287.1914641999756,287.1914641999756,287.1914641999756,287.20826729998225,288.1918385999743,288.1918385999743,c,1,0.8751762000028975,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,16,3,67,3,,,,,289.0921271999832,290.09212169999955,290.09212169999955,290.09212169999955,290.09212169999955,290.09212169999955,291.09249760000966,291.09249760000966,z,1,0.4216706000152044,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,17,0,68,0,,,,,291.5425772999879,292.5427566000144,292.5427566000144,292.5427566000144,292.5427566000144,292.5427566000144,293.54294329998083,293.54294329998083,x,1,0.48914040002273396,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,17,1,69,1,,,,,294.0671726000146,295.0678359000012,295.0678359000012,295.0678359000012,295.0678359000012,295.08670809998875,296.0629910000134,296.0629910000134,v,1,0.6295475999941118,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
