2.6605 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
98.3503 	EXP 	New trial (rep=45, index=0): None
98.3520 	DATA 	Keypress: up
98.3636 	EXP 	fixation: autoDraw = False
98.3636 	EXP 	grating: autoDraw = False
98.3636 	EXP 	grating: ori = -3.0
98.3636 	EXP 	fixation: autoDraw = True
99.3639 	EXP 	fixation: autoDraw = False
99.3639 	EXP 	grating: autoDraw = True
99.6640 	EXP 	grating: autoDraw = False
99.9841 	EXP 	New trial (rep=46, index=0): None
99.9858 	DATA 	Keypress: down
99.9975 	EXP 	fixation: autoDraw = False
99.9975 	EXP 	grating: autoDraw = False
99.9975 	EXP 	grating: ori = -3.0
99.9975 	EXP 	fixation: autoDraw = True
100.9976 	EXP 	fixation: autoDraw = False
100.9976 	EXP 	grating: autoDraw = True
101.2977 	EXP 	grating: autoDraw = False
101.6010 	EXP 	New trial (rep=47, index=0): None
101.6029 	DATA 	Keypress: down
101.6146 	EXP 	fixation: autoDraw = False
101.6146 	EXP 	grating: autoDraw = False
101.6146 	EXP 	grating: ori = 1.0
101.6146 	EXP 	fixation: autoDraw = True
102.6148 	EXP 	fixation: autoDraw = False
102.6148 	EXP 	grating: autoDraw = True
102.9147 	EXP 	grating: autoDraw = False
103.4013 	EXP 	New trial (rep=48, index=0): None
103.4030 	DATA 	Keypress: down
103.4151 	EXP 	fixation: autoDraw = False
103.4151 	EXP 	grating: autoDraw = False
103.4151 	EXP 	grating: ori = -4.0
103.4151 	EXP 	fixation: autoDraw = True
104.4152 	EXP 	fixation: autoDraw = False
104.4152 	EXP 	grating: autoDraw = True
104.7154 	EXP 	grating: autoDraw = False
105.0522 	EXP 	New trial (rep=49, index=0): None
105.0540 	DATA 	Keypress: down
105.0652 	EXP 	fixation: autoDraw = False
105.0652 	EXP 	grating: autoDraw = False
105.0652 	EXP 	grating: ori = -4.0
105.0652 	EXP 	fixation: autoDraw = True
106.0655 	EXP 	fixation: autoDraw = False
106.0655 	EXP 	grating: autoDraw = True
106.3657 	EXP 	grating: autoDraw = False
106.5520 	EXP 	New trial (rep=50, index=0): None
