2.9246 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
83.3878 	EXP 	fixation: autoDraw = False
83.6710 	EXP 	grating: autoDraw = False
83.8089 	EXP 	window1: recordFrameIntervals = False
83.8115 	DATA 	Keypress: right
83.8218 	EXP 	fixation: autoDraw = False
83.8218 	EXP 	grating: autoDraw = False
83.8221 	EXP 	window1: recordFrameIntervals = False
84.8209 	EXP 	fixation: autoDraw = True
85.8226 	EXP 	fixation: autoDraw = False
85.8226 	EXP 	grating: autoDraw = True
85.8226 	EXP 	grating: tex = 'sin'
86.1383 	EXP 	grating: autoDraw = False
86.3930 	EXP 	window1: recordFrameIntervals = False
86.3953 	DATA 	Keypress: right
86.4056 	EXP 	fixation: autoDraw = False
86.4056 	EXP 	grating: autoDraw = False
86.4059 	EXP 	window1: recordFrameIntervals = False
87.4023 	EXP 	fixation: autoDraw = True
88.4057 	EXP 	fixation: autoDraw = False
88.4057 	EXP 	grating: autoDraw = True
88.4057 	EXP 	grating: tex = 'sin'
88.7046 	EXP 	grating: autoDraw = False
88.8274 	EXP 	window1: recordFrameIntervals = False
88.8295 	DATA 	Keypress: left
88.8391 	EXP 	fixation: autoDraw = False
88.8391 	EXP 	grating: autoDraw = False
88.8395 	EXP 	window1: recordFrameIntervals = False
89.8363 	EXP 	fixation: autoDraw = True
90.8371 	EXP 	fixation: autoDraw = False
90.8371 	EXP 	grating: autoDraw = True
90.8371 	EXP 	grating: tex = 'sin'
91.1371 	EXP 	grating: autoDraw = False
91.2397 	EXP 	window1: recordFrameIntervals = False
91.2410 	DATA 	Keypress: right
91.2539 	EXP 	fixation: autoDraw = False
91.2539 	EXP 	grating: autoDraw = False
91.2543 	EXP 	window1: recordFrameIntervals = False
92.2508 	EXP 	fixation: autoDraw = True
93.2540 	EXP 	grating: autoDraw = True
93.2540 	EXP 	grating: tex = 'sin'
93.2732 	EXP 	fixation: autoDraw = False
93.5568 	EXP 	grating: autoDraw = False
93.6436 	EXP 	window1: recordFrameIntervals = False
93.6456 	DATA 	Keypress: right
93.6573 	EXP 	fixation: autoDraw = False
93.6573 	EXP 	grating: autoDraw = False
93.6577 	EXP 	window1: recordFrameIntervals = False
94.6535 	EXP 	fixation: autoDraw = True
95.6548 	EXP 	fixation: autoDraw = False
95.6548 	EXP 	grating: autoDraw = True
95.6548 	EXP 	grating: tex = 'sin'
95.9550 	EXP 	grating: autoDraw = False
96.1408 	EXP 	window1: recordFrameIntervals = False
96.1422 	DATA 	Keypress: right
96.1550 	EXP 	fixation: autoDraw = False
96.1550 	EXP 	grating: autoDraw = False
96.1552 	EXP 	window1: recordFrameIntervals = False
97.1571 	EXP 	fixation: autoDraw = True
